artwork_citi_id,artwork_title,image_netx_id,image_netx_uuid,is_public_domain
52198,"Belly-Amphora (Storage Jar)",408411,890944df-3646-9db0-f1ce-b8321fd40e89,1
213,"Bowl with Textured Surface Decoration",418504,337a610d-4128-a811-7044-82a5ba528dc2,1
7157,Jockey,296013,ad17b244-a719-40fc-69c9-06fd54362ea8,1
20199,"Final Study for ""Bathers at Asnières""",384882,1db67905-d421-95bf-1e91-4b60dd776886,1
81533,"The Races at Longchamp",405142,e9ce5aca-4c34-c8dd-b8a1-91b3e3197211,1
760,"Two Border Fragments",420939,f18d69e8-cbeb-0744-12af-a568b51a796d,1
4538,"Horse Radish Grinder, from Yiddish Motifs",279720,134ec55e-d0f3-3341-219f-8417efe236ca,
144467,"Farm near Duivendrecht",405152,1cf0948e-6b18-45ac-c2c3-3ec6b936839b,1
14446,"Sheet of Sketches",294515,ca266d0e-1917-b446-5267-727c6456e501,1
22939,"The Heron Maiden",194613,7dae05a8-dc27-0cb9-6c67-f423a912f6e4,1
